SignalRecordInator saved data
note:Some more example data, this time without a time column.
numChannels: 2
Channels: AI0, AI2,
SaplingFrequency: 1000
-0.459487,2.487728
-0.438102,2.487728
-0.436128,2.490031
-0.436128,2.490031
-0.412439,2.490689
-0.416387,2.487070
-0.406188,2.488715
-0.407504,2.491676
-0.357167,2.492334
-0.395002,2.489044
-0.373946,2.487399
-0.364405,2.490689
-0.368024,2.491347
-0.366050,2.491018
-0.358812,2.489044
-0.361444,2.490360
-0.356180,2.490360
-0.365392,2.490689
-0.366708,2.489702
-0.374275,2.489702
-0.369998,2.490031
-0.378881,2.489044
-0.380855,2.488386
-0.378223,2.489044
-0.396976,2.487728
-0.402898,2.487070
-0.401582,2.488715
-0.404543,2.489702
-0.435799,2.490689
-0.474621,2.491018
-0.465080,2.488057
-0.473634,2.487399
-0.503573,2.490689
-0.521340,2.489044
-0.546015,2.488057
-0.590101,2.488386
-0.604907,2.488386
-0.620041,2.487070
-0.621357,2.489044
-0.645045,2.490031
-0.685184,2.489044
-0.701305,2.489702
-0.741443,-2.485168
-0.761512,-2.485497
-0.790136,-2.484510
-0.786846,-2.485168
-0.852318,-2.485497
-0.876664,-2.484839
-0.894759,-2.484839
-0.929305,-2.484839
-0.965824,-2.484839
-1.007279,-2.484839
-1.037218,-2.485497
-1.044127,-2.485497
-1.084924,-2.484839
-1.104993,-2.485497
-1.138222,-2.484181
-1.198430,-2.484510
-1.219815,-2.484839
-1.256993,-2.485826
-1.299105,-2.485168
-1.308646,-2.485168
-1.349772,-2.484839
-1.370499,-2.484510
-1.406032,-2.484839
-1.441893,-2.484839
-1.414257,-2.484839
-1.408993,-2.485168
-1.422482,-2.485168
-1.434984,-2.485168
-1.425772,-2.485168
-1.419850,-2.485168
-1.427746,-2.484839
-1.442222,-2.484839
-1.421824,-2.485497
-1.437287,-2.485497
-1.431365,-2.484510
-1.430049,-2.484839
-1.437945,-2.485168
-1.434655,-2.485497
-1.432681,-2.484839
-1.412941,-2.484510
-1.421166,-2.484839
-1.434326,-2.484839
-1.434655,-2.484510
-1.423140,-2.484510
-1.435313,-2.484510
-1.418205,-2.485497
-1.409651,-2.485168
-1.423140,-2.484510
-1.439590,-2.485168
-1.429391,-2.484510
-1.423798,-2.483852
-1.454724,-2.484839
-1.441893,-2.484510
-1.408993,-2.485168
-1.422811,-2.484839
-1.438274,-2.484510
-1.439590,-2.484510
-1.410309,-2.485168
-1.433010,-2.484839
